67237	NBC FOX Discovery	CBS FXX ComedyCentral
80240	NBC	CBS
53461	BET TBS ABC FOX TNT FX Bravo	ESPN MTV2 NBC FXX ESPN2 CBS VH1 visit
83366	NBC AMC TNT	ABC NBCSportsNetwork TBS FOX
72515	ABC	ABC
62392	FOX	CBS NBC
26536	A&E	visit
3112	web	visit
8014	FXX Discovery web TNT	USANetwork MTV truTV visit
34032	FoxSports1 CBS FOX Discovery truTV ESPN2 ESPN	TNT AMC ComedyCentral ABC TLC NationalGeographic visit
79806	ABC	NBC
17608	Telemundo(National)	Telemundo(National)
62976	SpikeTV NBC ComedyCentral TBS	CBS USANetwork truTV FXX TNT
1656	Bravo	Discovery
47752	visit	visit
61134	ABC	ABC
37113	ABC SpikeTV ESPN CartoonNetwork	TNT CW TBS NBC
69728	FoxSports1	FoxSports1
82357	NBC FX	ABC visit
24923	TNT	ABC CBS
72490	visit	visit
7155	truTV CW	VH1 MTV visit
6472	TBS E! AMC NBC A&E	FXX FOX FX AnimalPlanet NationalGeographic ABC
60763	FoxSports1	NBC visit
43363	NBC CBS	Discovery Bravo
1059	ESPN2 ABC	ESPN TBS
48685	NBC CBS	USANetwork TNT
72174	NBC	NBC
54393	visit	visit
27733	ComedyCentral NBC TNT ABC	TBS CBS Bravo FX USANetwork
35184	Bravo	E!
65866	FOX	TNT
52312	Discovery History Nickelodeon	TBS AnimalPlanet CBS NBC
3955	CBS E! TNT	ABC ESPN ComedyCentral NBC
9324	Bravo ComedyCentral AMC SpikeTV USANetwork	MTV NBCSportsNetwork ABC TBS truTV
84050	NBC	CBS visit
68011	E! AMC	MTV2 CBS ESPN
13499	FXX ESPN	Discovery TNT CBS
55341	visit	visit
42461	web NBC BET	Discovery CBS ABC
53239	AMC CBS FOX Freeform	NBC USANetwork ABC CW
57143	History AnimalPlanet	Discovery FOX
26155	Bravo CBS	ABC NBC
1820	NBC CBS	ABC Bravo E!
11169	BET	ABC visit
22862	visit	visit
77528	ESPN TBS NBC TLC Discovery USANetwork	FOX Bravo History MTV VH1 TNT
1990	visit	visit
21166	ComedyCentral	visit
76323	NBC	FOX CBS
58910	web	ABC CBS
3958	SpikeTV AMC Discovery NBC	NationalGeographic A&E History CBS
74628	CBS	ABC TBS
83241	A&E CBS truTV CartoonNetwork	AMC FX ESPN2 ESPN visit
66586	History CBS ABC	Freeform TNT VH1
46803	TNT ESPN	ESPN2 CBS
34777	History	NBC
5058	ESPN	CBS
40433	FOX	FOX
10166	ABC	Discovery FOX
43920	FOX CW CBS NBC	Bravo MTV ABC VH1
28467	TNT	CartoonNetwork CBS
57513	NBC ComedyCentral FXX ABC	truTV TBS FX TNT Freeform
10713	NBC FoxSports1 CBS	Discovery Nickelodeon FOX USANetwork
13014	CW	USANetwork
53802	NationalGeographic Discovery SpikeTV History	FXX USANetwork A&E FOX visit
61298	Nickelodeon CW	NBC TBS CBS
24140	web	ABC
42806	NBC TLC	ABC FOX CBS
72386	FoxSports1	FoxSports1
44203	CBS AMC	ABC visit
73173	A&E	SpikeTV FX
18494	visit	visit
30375	CBS CW ABC	Freeform A&E AMC
8503	NBC ESPN MTV	ABC CBS Bravo TNT
5090	Bravo CBS	TBS AMC
27992	ABC Freeform	CBS NBC
74994	CBS NBC Discovery	TLC FX FOX ABC
81710	FOX	visit
